"Empleado","Nombre_del_Curso","Horas_Invertidas","Reconocimiento","Fecha_del_curso","Cierre_del_Curso","DCIII","Cerificion_del_curso","Valor_Curricular","Donde_curso","Quien_imparte","Competencias_adquiridas"
"09517","IMAC PEÑOLES","16","IMAC - Jesus Morales.pdf","30/10/2017 12:00:00 a. m.","31/10/2017 12:00:00 a. m.","","False","False","Peñoles Area de Ingenieria","COYSER","IMAC PEÑOLES"
"13053","FORMACIÓN DE LIDERES DE EQUIPO","16","","","","","True","True","Gomez Palacio","",""
"14822","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"13568","IMAC PEÑOLES","16","","30/10/2017 12:00:00 a. m.","31/10/2017 12:00:00 a. m.","","True","True","Peñoles Area de Ingenieria","COYSER","IMAC PEÑOLES"
"13066","FORMACIÓN DE LIDERES DE EQUIPO","","","","","","False","False","","",""
"13517","FORMACIÓN DE LIDERES DE EQUIPO","16","","","","","False","False","","",""
"13568","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"13709","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"13845","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"09517","FESTO INDUSTRIA 4.0","8","","19/10/2017 12:00:00 a. m.","19/10/2017 12:00:00 a. m.","","False","False","Monterrey Hotel Krystal Monterrey","FESTO","Nuevas Tec. Feso"
"13053","PROGRAMACION DE ROBOT ABB CON IRC5","40","IRC5-ABB.pdf","12/03/2012 12:00:00 a. m.","16/03/2012 12:00:00 a. m.","","False","True","San Luis Potosi","Adan Oviedo","Programacion Basica"
"13053","PROGRAMACION DE ROBOT FANUC","40","FANUC.jpg","","","","False","True","Aguascalientes","","Programacion Basica"
"13053","PROGRAMACION DE PLC GUARDLOGIX","20","","","","","False","True","Monterrey","",""
"13053","ELECTRIC P8 ,  e - PLAN","20","","12/09/2016 12:00:00 a. m.","15/09/2017 12:00:00 a. m.","","False","True","Monterrey","Juan Carlos",""
